Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),Amazon EC2,0,2645.42,31745.04,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (1 TB), Provisioning IOPS (1000), Instance type (t3a.2xlarge)"
My Estimate,US East (Ohio),Amazon CloudWatch,0,300,3600.00,USD,
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,493.65,5923.80,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),Amazon EC2,0,3696.29,44355.48,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Provisioning IOPS (1000), Instance type (m6g.2xlarge)"
My Estimate,US East (Ohio),Elastic Load Balancing,0,733.2299999999999,8798.76,USD,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),Amazon Route 53,0,365,4380.00,USD,Number of Elastic Network Interfaces (4)
My Estimate,US East (Ohio),S3 Standard,0,2304,27648.00,USD,S3 Standard storage (100 TB per month)
My Estimate,US East (Ohio),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,8082.352,96988.22,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (250 GB), Additional backup storage (3 TB)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
